科目,区分,金額,年度
売上高,売上,2500000,2020
売上原価,売上原価,1625000,2020
給料手当,販管費,450000,2020
広告宣伝費,販管費,125000,2020
地代家賃,販管費,100000,2020
営業外収益,営業外収益,15000,2020
営業外費用,営業外費用,40000,2020
法人税等,法人税等,30000,2020
流動資産,流動資産,1200000,2020
固定資産,固定資産,1800000,2020
流動負債,流動負債,1100000,2020
固定負債,固定負債,1000000,2020
純資産,純資産,900000,2020
営業CF,営業CF,250000,2020
投資CF,投資CF,-300000,2020
財務CF,財務CF,100000,2020
売上高,売上,3000000,2021
売上原価,売上原価,1890000,2021
給料手当,販管費,470000,2021
広告宣伝費,販管費,140000,2021
地代家賃,販管費,100000,2021
営業外収益,営業外収益,20000,2021
営業外費用,営業外費用,38000,2021
法人税等,法人税等,70000,2021
流動資産,流動資産,1400000,2021
固定資産,固定資産,2100000,2021
流動負債,流動負債,1150000,2021
固定負債,固定負債,1200000,2021
純資産,純資産,1150000,2021
営業CF,営業CF,400000,2021
投資CF,投資CF,-350000,2021
財務CF,財務CF,50000,2021
売上高,売上,3500000,2022
売上原価,売上原価,2170000,2022
給料手当,販管費,480000,2022
広告宣伝費,販管費,150000,2022
地代家賃,販管費,100000,2022
営業外収益,営業外収益,30000,2022
営業外費用,営業外費用,35000,2022
法人税等,法人税等,110000,2022
流動資産,流動資産,1600000,2022
固定資産,固定資産,2400000,2022
流動負債,流動負債,1200000,2022
固定負債,固定負債,1400000,2022
純資産,純資産,1400000,2022
営業CF,営業CF,550000,2022
投資CF,投資CF,-400000,2022
財務CF,財務CF,0,2022
売上高,売上,4200000,2023
売上原価,売上原価,2520000,2023
給料手当,販管費,500000,2023
広告宣伝費,販管費,180000,2023
地代家賃,販管費,100000,2023
営業外収益,営業外収益,40000,2023
営業外費用,営業外費用,32000,2023
法人税等,法人税等,170000,2023
流動資産,流動資産,1800000,2023
固定資産,固定資産,2700000,2023
流動負債,流動負債,1250000,2023
固定負債,固定負債,1550000,2023
純資産,純資産,1700000,2023
営業CF,営業CF,700000,2023
投資CF,投資CF,-450000,2023
財務CF,財務CF,-150000,2023
売上高,売上,5000000,2024
売上原価,売上原価,3000000,2024
給料手当,販管費,500000,2024
広告宣伝費,販管費,200000,2024
地代家賃,販管費,100000,2024
営業外収益,営業外収益,50000,2024
営業外費用,営業外費用,30000,2024
法人税等,法人税等,220000,2024
流動資産,流動資産,2000000,2024
固定資産,固定資産,3000000,2024
流動負債,流動負債,1200000,2024
固定負債,固定負債,1800000,2024
純資産,純資産,2000000,2024
営業CF,営業CF,800000,2024
投資CF,投資CF,-500000,2024
財務CF,財務CF,-200000,2024
